"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"05000","Arkansas","5","CA1","3","...","Per capita personal income (dollars) 2/",2681,2920,3181,3509,4072,4457,4780,5248,5736,6550,7089,7585,8568,9008,9532,10547,11205,11746,12153,13030,13957,14621,15275,16438,16973,17747,18555,19415,20118,21160,21834,22782,23854,24261,25500,26912,27990,29494,31189,32377,31646,32017,34089,36423,36698
"05998","Arkansas (Metropolitan Portion)","5","CA1","1","...","Personal income (thousands of dollars)",2859238,3138999,3520427,3978319,4602809,5141735,5744029,6390511,7105021,8200434,9064462,9987289,11140314,11809168,12686071,14059040,15139561,16128126,16884463,18056230,19427713,20541545,21713620,23770605,25039356,26601103,28390920,30182682,31718659,33951896,35580997,37804349,39819520,41248082,43631931,46679179,49746264,53755963,57480454,59872207,59198030,60388120,65020281,70070607,70933414
"05998","Arkansas (Metropolitan Portion)","5","CA1","2","...","Population (persons) 1/",957879,973826,999450,1026918,1050230,1078974,1115412,1112471,1135446,1154827,1174501,1192618,1197275,1198966,1207358,1219270,1229084,1239571,1253761,1260750,1268797,1280442,1300012,1324845,1354693,1379433,1407228,1433828,1455188,1472923,1494034,1517757,1534678,1552058,1573065,1597168,1625380,1661379,1687232,1711933,1734669,1757803,1776554,1792096,1807274
"05998","Arkansas (Metropolitan Portion)","5","CA1","3","...","Per capita personal income (dollars) 2/",2985,3223,3522,3874,4383,4765,5150,5744,6257,7101,7718,8374,9305,9849,10507,11531,12318,13011,13467,14322,15312,16043,16703,17942,18483,19284,20175,21050,21797,23051,23815,24908,25946,26576,27737,29226,30606,32356,34068,34973,34126,34354,36599,39100,39249
"05999","Arkansas (Nonmetropolitan Portion)","5","CA1","1","...","Personal income (thousands of dollars)",2270359,2496771,2752611,3104102,3778490,4219770,4573170,4991837,5555613,6478320,7021332,7373257,8507347,8857121,9293181,10408165,10935666,11262451,11583091,12467859,13320569,13912946,14689240,15942965,16652102,17661331,18654284,19753764,20609046,21619123,22319858,23220006,24385641,24400886,25852091,27320842,28095964,29468089,31367042,33197912,32474129,33173535,35151271,37372403,37669884
"05999","Arkansas (Nonmetropolitan Portion)","5","CA1","2","...","Population (persons) 1/",955121,956251,972578,991198,1008261,1021411,1042879,1056217,1071782,1086192,1094614,1096120,1095929,1095288,1098408,1100497,1097962,1092417,1088596,1081905,1077557,1076144,1083132,1091139,1101610,1114586,1128171,1138281,1145902,1153366,1157826,1160831,1156893,1153869,1151751,1152518,1155717,1160382,1161418,1162621,1162174,1164477,1161952,1157732,1152099
"05999","Arkansas (Nonmetropolitan Portion)","5","CA1","3","...","Per capita personal income (dollars) 2/",2377,2611,2830,3132,3748,4131,4385,4726,5184,5964,6414,6727,7763,8087,8461,9458,9960,10310,10640,11524,12362,12929,13562,14611,15116,15846,16535,17354,17985,18744,19277,20003,21079,21147,22446,23705,24310,25395,27008,28554,27943,28488,30252,32281,32697
"06000","California","8","CA1","1","...","Personal income (thousands of dollars)",92173937,99440680,106005497,116355563,127636686,142322040,157355533,174467895,193561591,220507216,250010535,283799138,318785061,340782971,368628471,409946849,443303545,476217672,513581994,557975272,600986019,643662461,664750059,701159877,717991182,740731676,779045712,828470736,881168588,960077145,1026378246,1134033801,1174581326,1193641064,1244534708,1321815484,1395992214,1499308841,1564289335,1596229973,1537094676,1578553439,1685635498,1805193769,1856614186
"06000","California","8","CA1","2","...","Population (persons) 1/",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37333601,37668681,37999878,38332521
"06000","California","8","CA1","3","...","Per capita personal income (dollars) 2/",4676,4966,5210,5653,6116,6722,7306,7954,8660,9655,10751,11924,13126,13730,14536,15862,16766,17571,18489,19603,20569,21484,21816,22637,22957,23527,24578,25874,27125,29104,30639,33366,34066,34229,35303,37156,38964,41623,43152,43608,41587,42282,44749,47505,48434
"06998","California (Metropolitan Portion)","8","CA1","1","...","Personal income (thousands of dollars)",90534052,97687335,104100020,114247850,125204219,139585718,154333743,171124734,189824878,216189941,245103641,278173696,312720001,334461979,361812050,402437188,435274186,467641278,504390714,548000757,589993201,631979361,652533162,688173847,704433051,726666829,764432947,812883092,864656805,942513972,1007965489,1114251612,1153816040,1172234493,1221839078,1297374943,1370607256,1472379837,1535908381,1566955834,1508514670,1549180182,1654438811,1772672805,1823238952
"06998","California (Metropolitan Portion)","8","CA1","2","...","Population (persons) 1/",19296031,19597757,19912355,20143679,20409271,20702568,21057798,21443167,21839866,22308929,22701374,23227051,23695972,24217238,24748500,25223594,25807049,26458849,27119704,27789074,28522727,29240510,29734543,30226707,30518895,30721796,30926537,31240503,31700587,32199253,32707947,33190914,33675821,34059641,34430907,34745743,34992800,35182458,35409556,35761758,36117202,36488352,36827217,37164120,37501722
"06998","California (Metropolitan Portion)","8","CA1","3","...","Per capita personal income (dollars) 2/",4692,4985,5228,5672,6135,6742,7329,7980,8692,9691,10797,11976,13197,13811,14620,15955,16866,17674,18599,19720,20685,21613,21945,22767,23082,23653,24718,26020,27276,29271,30817,33571,34262,34417,35487,37339,39168,41850,43376,43817,41767,42457,44924,47699,48617
"06999","California (Nonmetropolitan Portion)","8","CA1","1","...","Personal income (thousands of dollars)",1639885,1753345,1905477,2107713,2432467,2736322,3021790,3343161,3736713,4317275,4906894,5625442,6065060,6320992,6816421,7509661,8029359,8576394,9191280,9974515,10992818,11683100,12216897,12986030,13558131,14064847,14612765,15587644,16511783,17563173,18412757,19782189,20765286,21406571,22695630,24440541,25384958,26929004,28380954,29274139,28580006,29373257,31196687,32520964,33375234
"06999","California (Nonmetropolitan Portion)","8","CA1","2","...","Population (persons) 1/",414969,425424,433220,441115,458466,469980,478917,491338,510381,530031,553695,573749,589961,602769,611523,620803,634058,643389,657456,675176,695438,719005,736193,747952,756033,762639,770045,778331,785423,788422,791257,797063,803637,812202,822252,828833,835143,838744,840755,842579,844027,845249,841464,835758,830799
"06999","California (Nonmetropolitan Portion)","8","CA1","3","...","Per capita personal income (dollars) 2/",3952,4121,4398,4778,5306,5822,6310,6804,7321,8145,8862,9805,10280,10487,11147,12097,12663,13330,13980,14773,15807,16249,16595,17362,17933,18442,18977,20027,21023,22276,23270,24819,25839,26356,27602,29488,30396,32106,33757,34743,33861,34751,37074,38912,40172
"08000","Colorado","7","CA1","1","...","Personal income (thousands of dollars)",8362617,9447721,10654052,12056548,13774616,15431087,17007525,18707668,20868467,24074736,27637575,31661243,36453307,39978289,42963711,46893797,49555903,51506817,53456515,56556763,61188912,64843598,68683311,74703057,80924154,87187612,94759322,102202376,109974945,122328072,132644126,148098695,155918402,156031593,159330219,166624930,177818529,191699362,202598581,212101724,206437621,210454100,226144657,240349703,247068771
